Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00817,LofiGirl,YouTube,13700000,Humor,Estados Unidos,283100,15100,345,0.11273722627737226,http://youtube.com/channel/UCSJ4gkVC6NrvII8umztf0Ow
INF00818,Anaysa,YouTube,13700000,"Películas, Humor",India,320100,7200,235,0.05427007299270073,http://youtube.com/channel/UCuN4A3GCUq5-0wJDSiJoxRQ
INF00819,PozziGamer,YouTube,13700000,"Animación, Videojuegos",Rusia,370300,14200,1000,0.11094890510948904,http://youtube.com/channel/UCuZeiI5pdpgqDojXZujoYgg
INF00820,TheInfographicsShow,YouTube,13700000,Educación,Estados Unidos,140900,3200,274,0.025357664233576643,http://youtube.com/channel/UCfdNM3NAhaBOXCafH7krzrA
INF00821,Littleglove,YouTube,13600000,Vlogs diarios,India,825700,48500,144,0.3576764705882353,http://youtube.com/channel/UC2MRRqb_L2E53UmTaywdhkA
INF00822,SonotekBhakti,YouTube,13600000,Música y baile,India,15300,271,15,0.0021029411764705882,http://youtube.com/channel/UC3oQ1986eLZ4MhyPBiu54PA
INF00823,gags,YouTube,13600000,Unknown,Estados Unidos,96100,1100,32,0.008323529411764707,http://youtube.com/channel/UCpsSadsgX_Qk9i6i_bJoUwQ
INF00824,soysuco24,YouTube,13600000,Unknown,Perú,1600000,149600,3300,1.124264705882353,http://youtube.com/channel/UCIpp0Pb8H3K-Htb-WOF9DBw
INF00825,zeetamil,YouTube,13600000,Unknown,India,14600,261,1,0.001926470588235294,http://youtube.com/channel/UC_wIGmvdyAQLtl-U2nHV9rg
INF00826,onlinejobRk,YouTube,13500000,Unknown,India,5000,111,14,0.000925925925925926,http://youtube.com/channel/UCL3IoeeHKzWMxZxhmnmETjw
INF00827,KabitasKitchen,YouTube,13500000,Unknown,India,107000,3800,187,0.02953333333333333,http://youtube.com/channel/UCChqsCRFePrP2X897iQkyAA
INF00828,Wengie,YouTube,13500000,Comida y bebida,Estados Unidos,10000,645,64,0.005251851851851852,http://youtube.com/channel/UCD9PZYV5heAevh9vrsYmt1g
INF00829,BrawlStars,YouTube,13500000,Animación,Estados Unidos,516000,42100,880,0.31837037037037036,http://youtube.com/channel/UCooVYzDxdwTtGYAkcPmOgOw
INF00830,athleanx,YouTube,13500000,"Fitness, Salud y autoayuda",Estados Unidos,216200,9300,319,0.07125185185185184,http://youtube.com/channel/UCe0TLA0EsQbE-MjuHXevj2A
INF00831,PeppaPigPortuguesOficial,YouTube,13500000,"Películas, Animación",Unknown,353000,1500,0,0.011111111111111112,http://youtube.com/channel/UCvD9GB-E4q_TuMpwUtFBhLA
INF00832,prantoniojunior,YouTube,13500000,Música y baile,Brasil,210900,48000,2200,0.3718518518518519,http://youtube.com/channel/UCKEM87jzVqdIfAdTr0xNBfA
INF00833,VexTrexKidsCartoon,YouTube,13500000,"Películas, Animación",Unknown,34400,0,0,0.0,http://youtube.com/channel/UCE_URvMQZgvPqd8rzlFF58A
INF00834,theRadBrad,YouTube,13500000,"Animación, Videojuegos",Estados Unidos,196100,8500,325,0.06537037037037037,http://youtube.com/channel/UCpqXJOEqGS-TCnazcHCo0rA
INF00835,MattSDance,YouTube,13500000,"Música y baile, Películas",Estados Unidos,62500,2300,44,0.017362962962962962,http://youtube.com/channel/UCczFdwWpVEpoqb-eMm4c4dQ
INF00836,TheQ_original,YouTube,13500000,Unknown,Estados Unidos,10800,275,5,0.002074074074074074,http://youtube.com/channel/UCZdGJgHbmqQcVZaJCkqDRwg
INF00837,WiederDude,YouTube,13500000,Unknown,Estados Unidos,0,0,0,0.0,http://youtube.com/channel/UCpDNnvxEf3iWuJbtmUk6DnA
INF00838,Akon,YouTube,13500000,Música y baile,Brasil,35400,1800,123,0.014244444444444445,http://youtube.com/channel/UC6IBMCQ6-d7p41KHxOsq4RA
INF00839,H2ODelirious,YouTube,13500000,"Animación, Videojuegos",Estados Unidos,97600,4800,113,0.03639259259259259,http://youtube.com/channel/UCClNRixXlagwAd--5MwJKCw
