Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement_Rate
for_everyoung10,392,Lifestyle,5100000.0,Indonesia,1100000.0,1400000.0,0.2157
caradelevingne,393,ModelingCinema & Actors/actresses,43000000.0,United States,,,
euphoria,394,,7900000.0,United States,,,
saweetie,395,Cinema & Actors/actresses,13200000.0,United States,,,
daquan,396,Humor & Fun & Happiness,16800000.0,United States,,,
i_m_hendery,397,,6200000.0,United States,,1200000.0,
darshanravaldz,398,Music,15300000.0,India,,,
jadepicon,399,ModelingFashion,20700000.0,Brazil,,,
barbieferreira,400,LifestyleMusicCinema & Actors/actresses,6300000.0,United States,,1100000.0,
i_m_hendery,401,,6200000.0,United States,,1200000.0,
darshanravaldz,402,Music,15300000.0,India,,,
kyo1122,403,Cinema & Actors/actresses,13300000.0,Indonesia,,,
barbieferreira,404,LifestyleMusicCinema & Actors/actresses,6300000.0,United States,,1100000.0,
rakulpreet,405,Cinema & Actors/actressesModeling,22100000.0,India,,,
leaelui,406,ModelingLifestyle,11600000.0,India,,,
simoneses,407,Music,34800000.0,Brazil,,,
marvelstudios,408,Cinema & Actors/actressesComics & sketches,37400000.0,India,,,
angeldimariajm,409,Sports with a ball,17900000.0,Argentina,,,
juliette,410,Cinema & Actors/actresses,33700000.0,Brazil,,,
mingue.k,411,Shows,5800000.0,Indonesia,,1200000.0,
obj,412,Sports with a ball,16200000.0,United States,,,
goar_avetisyan,413,Beauty,11600000.0,Russia,,,
yerimiese,414,Lifestyle,10700000.0,Indonesia,,,
demetozdemir,415,Cinema & Actors/actresses,15300000.0,India,,,
burakozcivit,416,Cinema & Actors/actresses,21600000.0,Turkey,,,
gururandhawa,417,Music,32800000.0,India,,,
dntlrdl,418,Lifestyle,6500000.0,Indonesia,,1000000.0,
yangyang_x2,419,,6400000.0,Indonesia,,1100000.0,
rachel_mypark,420,Cinema & Actors/actresses,10200000.0,Indonesia,,,
parishilton,421,Modeling,19600000.0,United States,,,
jhope_bighitentertainment,422,Lifestyle,7900000.0,Brazil,,,
evcenf,423,LifestyleBeauty,13200000.0,Turkey,,,
iynemliarasbulut,424,Cinema & Actors/actressesLifestyle,10300000.0,Turkey,,,
yejinhand,425,Cinema & Actors/actresses,6900000.0,Indonesia,,,
jin_bighitentertainment,426,Lifestyle,8199999.999999999,Indonesia,,,
thibautcourtois,427,Sports with a ball,10700000.0,Spain,,,
kun11xd,428,Lifestyle,6700000.0,Indonesia,,,
sonamkapoor,429,FashionModeling,33100000.0,India,,,
_shotaroo_,430,LifestyleMusic,5400000.0,Indonesia,,1200000.0,
raphaelvarane,431,Sports with a ball,19100000.0,Spain,,,
pugachevmark,432,Cars & MotorbikesLuxury,14100000.0,Russia,,,
shehnaazgill,433,Cinema & Actors/actressesMusic,11600000.0,India,,,
thenewclassic,434,Music,16399999.999999998,United States,,,
vanessahudgens,435,Cinema & Actors/actresses,46400000.0,United States,,,
mariabecerra,436,Music,9800000.0,Argentina,,,
jennaortega,437,Cinema & Actors/actressesLifestyle,8199999.999999999,United States,,,
aron.piper,438,MusicLifestyle,13900000.0,Brazil,,,
_seorina,439,LifestyleCinema & Actors/actresses,6000000.0,South Korea,,1000000.0,
teddysphotos,440,Music,39500000.0,United States,,,
larissamanoela,441,Cinema & Actors/actresses,46100000.0,Brazil,,,
paulwesley,442,Cinema & Actors/actresses,12300000.0,Brazil,,,
djxiao_888,443,,6900000.0,Indonesia,,,
parineetichopra,444,Cinema & Actors/actresses,37000000.0,India,,,
romeosantos,445,Music,19200000.0,United States,,,
duki,446,Music,10100000.0,Argentina,,,
conangray,447,Music,6400000.0,Brazil,,,
jessnolimit,448,Shows,7300000.0,Indonesia,,,
k.kbeom,449,,5300000.0,Indonesia,,1100000.0,
chiaraferragni,450,Beauty,27500000.0,Italy,,,
nadin_serovski,451,FamilyLifestyle,9400000.0,Russia,,,
adamweitsman,452,Business & Careers,17500000.0,Russia,,,
anupamaparameswaran96,453,Cinema & Actors/actresses,12200000.0,India,,,
superstar_dewasi99,454,MusicCinema & Actors/actresses,12600000.0,India,,,
offsetyrn,455,Music,19900000.0,United States,,,
angeldimariajm,456,Sports with a ball,17700000.0,Argentina,,,
juanpazurita,457,Cinema & Actors/actresses,29800000.0,Mexico,,,
antogriezmann,458,Sports with a ball,36400000.0,Spain,,,
jungkook_bighitentertainment,459,Management & MarketingMusic,9500000.0,Brazil,,,
ana_d_armas,460,Cinema & Actors/actressesLifestyle,7100000.0,United States,,,
dkharbour,461,Cinema & Actors/actresses,8500000.0,United States,,,
ldh_sky,462,,5600000.0,Indonesia,,1100000.0,
aboflah,463,Humor & Fun & Happiness,7400000.0,Iraq,,,
polo.capalot,464,MusicLifestyle,10500000.0,United States,,,
zefelipecantor,465,Music,24600000.0,Brazil,,,
yuyacst,466,Modeling,17200000.0,Mexico,,,
fuji_an,467,LifestyleFamily,11800000.0,Indonesia,,,
anahi,468,MusicModeling,9800000.0,Brazil,,,
kingbach,469,MusicArt/ArtistsCinema & Actors/actresses,22700000.0,United States,,,
yoona__lim,470,Cinema & Actors/actresses,13500000.0,Indonesia,,,
gianlucavacchi,471,Lifestyle,22400000.0,Brazil,,,
xavi,472,Sports with a ball,9000000.0,Spain,,,
anjimaxuofficially,473,Lifestyle,11500000.0,India,,,
khabib_nurmagomedov,474,Fitness & Gym,33500000.0,Russia,,,
jimmyfallon,475,ShowsHumor & Fun & Happiness,22400000.0,United States,,,
gusttavolima,476,Music,43800000.0,Brazil,,,
julesleblanc,477,MusicShows,9700000.0,United States,,,
ananyapanday,478,Cinema & Actors/actresses,23000000.0,India,,,
nickyjam,479,Music,43400000.0,Colombia,,,
travisbarker,480,Lifestyle,7600000.0,United States,,,
nikefootball,481,Sports with a ballClothing & Outfits,45200000.0,Brazil,,,
juansguarnizo,482,,5900000.0,Mexico,,,
thehughjackman,483,Cinema & Actors/actresses,30500000.0,United States,,,
c.syresmith,484,Cinema & Actors/actressesLifestyle,19100000.0,United States,,,
itsmarziapie,485,BeautyLifestyle,8300000.000000001,United States,,,
jailyneojeda,486,ModelingLifestyle,14200000.0,United States,,,
yooncy1,487,,4900000.0,South Korea,,1100000.0,
gioewbank,488,Cinema & Actors/actressesModeling,28400000.0,Brazil,,,
indiancricketteam,489,Sports with a ball,24600000.0,India,,,
yugyeom,490,MusicArt/ArtistsCinema & Actors/actresses,11400000.0,Thailand,,,
deiveleonardo,491,Literature & JournalismTrainers & Coaches,11700000.0,Brazil,,,
urvashirautela,492,Cinema & Actors/actresses,53000000.0,India,,,
aliiiiiiiikarimi8,493,Sports with a ball,9400000.0,Iran,,,
fabriziorom,494,Literature & JournalismShows,8600000.0,Italy,,,
sanchooo10,495,Sports with a ball,8600000.0,United Kingdom,,,
joeyking,496,MusicCinema & Actors/actressesModeling,19000000.0,Brazil,,,
nianaguerrero,497,MusicKids & Toys,14200000.0,Indonesia,,,
hshq,498,MusicCinema & Actors/actressesFashion,6300000.0,United States,,,
lacasadepapel,499,ShowsCinema & Actors/actresses,12800000.0,Brazil,,,
fcbayern,500,Sports with a ball,33300000.0,Germany,,,
choi_seung_hyun_tttop,501,,14300000.0,Indonesia,,,
vousmevoyez,502,MusicCinema & Actors/actresses,10300000.0,Indonesia,,,
pefabiodemelo,503,Lifestyle,25700000.0,Brazil,,,
rahulkl,504,,12300000.0,India,,,
donya,505,Fashion,15200000.0,Iran,,,
sav.labrant,506,FamilyLifestyleShows,7100000.0,United States,,,
abdevilliers17,507,Sports with a ballLifestyle,18400000.0,India,,,
arishfakhan138,508,Cinema & Actors/actresses,29300000.0,India,,,
liamhemsworth,509,Cinema & Actors/actresses,13100000.0,United States,,,
iscoalarcon,510,Sports with a ball,24900000.0,Spain,,,
jimin_bighitentertainment,511,,8800000.0,Indonesia,,,
lucasranngel,512,Lifestyle,19800000.0,Brazil,,,
dear.zia,513,Lifestyle,3700000.0,South Korea,1200000.0,1400000.0,0.3243
hakkiakdenizz,514,Business & Careers,23500000.0,Russia,,,
dra.deolanebezerra,515,Lifestyle,14400000.0,Brazil,,,
jokowi,516,Finance & Economics,47400000.0,Indonesia,,,
nusr_et,517,Food & Cooking,46900000.0,Turkey,,,
fortnite,518,Computers & Gadgets,25900000.0,United States,,,
loud_victor,519,LifestyleSports with a ball,10700000.0,Brazil,,,
cvillaloboss,520,ShowsCinema & Actors/actresses,20100000.0,Colombia,,,
dylansprouse,521,Cinema & Actors/actresses,9200000.0,United States,,,
melissamelmaia,522,Music,12900000.0,Brazil,,,
sofiaalcastro,523,ShowsCinema & Actors/actressesLifestyle,8800000.0,Colombia,,,
litkillah,524,Music,7900000.0,Argentina,,,
21savage,525,Music,13500000.0,United States,,,
amitabhbachchan,526,Cinema & Actors/actresses,30700000.0,India,,,
maya_hawke,527,Music,7300000.0,United States,,,
tatawerneck,528,Cinema & Actors/actressesFamily,53600000.0,Brazil,,,
viihtube,529,Cinema & Actors/actresses,23500000.0,Brazil,,,
hm_son7,530,Sports with a ball,7400000.0,Brazil,,,
davido,531,Music,24600000.0,Nigeria,,,
leonardodicaprio,532,Cinema & Actors/actresses,54200000.0,United States,,,
bernardokath,533,BeautyCinema & Actors/actressesFashion,17300000.0,Philippines,,,
chloegmoretz,534,Cinema & Actors/actresses,21100000.0,United States,,,
wizkidayo,535,Music,14900000.0,Nigeria,,,
melo,536,Sports with a ball,9000000.0,United States,,,
jimena.jimenezr,537,,5800000.0,Mexico,,,
gessicakayane,538,ShowsHumor & Fun & Happiness,20000000.0,Brazil,,,
andreavaldirisos,539,LifestyleBeauty,8600000.0,Colombia,,,
joaogomescantor,540,FamilyMusic,12800000.0,Brazil,,,
quavohuncho,541,Music,21400000.0,United States,,,
travisbarker,542,Lifestyle,7600000.0,United States,,,
caviarmagnat,543,,15100000.0,Russia,,,
suga_bighitentertainment,544,Music,7600000.0,Indonesia,,,
pablogavi,545,,4700000.0,,0.0,1000000.0,0.0
netflixbrasil,546,ShowsCinema & Actors/actresses,31800000.0,Brazil,,,
ridwankamil,547,Literature & JournalismBusiness & CareersFinance & Economics,18400000.0,Indonesia,,,
beautifuldestinations,548,PhotographyTravel,24700000.0,United States,,,
angelinajolie,549,Lifestyle,13200000.0,Brazil,,,
corinnakopf,550,Beauty,6700000.0,United States,,,
angelinajolie,551,Family,13200000.0,Brazil,,,
asabopp,552,Cinema & Actors/actresses,5800000.0,Brazil,,,
naileadevora,553,Shows,5200000.0,United States,,,
lizakoshy,554,Cinema & Actors/actresses,20100000.0,United States,,,
marimaria,555,Beauty,20100000.0,Brazil,,,
ronaldo,556,Sports with a ball,23000000.0,Brazil,,,
gisele,557,ModelingFashionLifestyle,19400000.0,Brazil,,,
liverpoolfc,558,Sports with a ball,39500000.0,United Kingdom,,,
nehasharmaofficial,559,Cinema & Actors/actresses,14600000.0,India,,,
marcusrashford,560,Sports with a ball,12800000.0,United Kingdom,,,
golfarahani,561,Cinema & Actors/actresses,13400000.0,Iran,,,
fuckjerry,562,Humor & Fun & Happiness,16800000.0,United States,,,
nazriyafahadh,563,Lifestyle,6100000.0,India,,,
kyrieirving,564,Sports with a ball,16900000.0,United States,,,
xsqueezie,565,MusicLifestyle,7900000.0,France,,,
actorsuriya,566,Cinema & Actors/actresses,4900000.0,India,,,
easportsfifa,567,Sports with a ball,26700000.0,Spain,,,
nessabarrett,568,LifestyleMusic,7000000.0,United States,,,
trentarnold66,569,Sports with a ball,7600000.0,United Kingdom,,,
madisonbaileybabe,570,Lifestyle,6700000.0,United States,,,
jackharlow,571,LifestyleMusic,6700000.0,United States,,,
victoriajustice,572,MusicCinema & Actors/actressesModeling,22700000.0,United States,,,
amauryguichon,573,Food & Cooking,9000000.0,United States,,,
phoebejtonkin,574,BeautyCinema & Actors/actressesModeling,8400000.0,United States,,,
vanessamorgan,575,MusicCinema & Actors/actresses,9500000.0,United States,,,
smriti_mandhana,576,Sports with a ball,6200000.0,India,,,
shreyaghoshal,577,Music,24400000.0,India,,,
achrafhakimi,578,Sports with a ball,9900000.0,Morocco,,,
aleoliveiracm,579,Humor & Fun & Happiness,8400000.0,Brazil,,,
xuminghao_o,580,Music,4900000.0,Indonesia,,,
nita_shilimkar,581,FashionModeling,11300000.0,India,,,
jeromepolin,582,EducationHumor & Fun & Happiness,6900000.0,Indonesia,,,
sound_of_coups,583,,3900000.0,Indonesia,,1100000.0,
aishwaryaraibachchan_arb,584,Cinema & Actors/actresses,10400000.0,India,,,
emiliamernes,585,Music,6000000.0,Argentina,,,
geewonii,586,,7600000.0,Indonesia,,,
markiplier,587,Shows,10400000.0,United States,,,
jairmessiasbolsonaro,588,Finance & EconomicsBusiness & Careers,20200000.0,Brazil,,,
loganpaul,589,Fitness & Gym,23300000.0,United States,,,
klaythompson,590,Sports with a ballLifestyle,12900000.0,United States,,,
malutrevejo,591,Music,11600000.0,United States,,,
virgilvandijk,592,Sports with a ball,12300000.0,United Kingdom,,,
frenkiedejong,593,Sports with a ball,10600000.0,Spain,,,
karelyruiz,594,Lifestyle,6400000.0,Mexico,,,
ciara,595,MusicModelingArt/Artists,32300000.0,United States,,,
joshu_acoustic,596,Music,4200000.0,,0.0,1000000.0,0.0
actorprabhas,597,,8600000.0,India,,,
avani,598,BeautyLifestyle,18900000.0,United States,,,
jensenackles,599,Cinema & Actors/actresses,9600000.0,United States,,,
jaybnow.hr,600,Music,6900000.0,Brazil,,,
jensenackles,601,Cinema & Actors/actresses,9600000.0,United States,,,
jaybnow.hr,602,Music,6900000.0,Brazil,,,
missasinfonia,603,Cinema & Actors/actresses,5400000.0,Mexico,,,
mattyperry4,604,,7900000.0,Brazil,,,
__youngbae__,605,Music,13400000.0,Indonesia,,,
zoeisabellakravitz,606,Cinema & Actors/actresses,8500000.0,United States,,,
premierleague,607,Sports with a ball,57900000.0,United Kingdom,,,
catherinemcbroom,608,Family,7400000.0,United States,,,
nehasharmaofficial,609,Cinema & Actors/actresses,14600000.0,India,,,
ridwankamil,610,Literature & JournalismBusiness & CareersFinance & Economics,18300000.0,Indonesia,,,
kit.connor,611,Cinema & Actors/actresses,4300000.0,United States,,,
toni.kr8s,612,Sports with a ball,34200000.0,Germany,,,
memezar,613,Cinema & Actors/actresses,23400000.0,United States,,,
dew_jsu,614,Cinema & Actors/actresses,6100000.0,Indonesia,,,
amadorat,615,FashionLifestyleBeauty,8199999.999999999,Mexico,,,
urstrulymahesh,616,Cinema & Actors/actresses,8700000.0,India,,,
xuminghao_o,617,Music,4800000.0,Indonesia,,,
theslumpgod,618,Music,5400000.0,United States,,,
tiffanyyoungofficial,619,ModelingFashion,12300000.0,Indonesia,,,
juventus,620,Sports with a ball,54000000.0,India,,,
iam_linyi,621,,3900000.0,Indonesia,,1000000.0,
angeliqueboyer,622,ShowsCinema & Actors/actresses,14200000.0,Brazil,,,
pozevidalouca,623,LifestylePhotography,7000000.0,Brazil,,,
narins_beauty,624,Lifestyle,9000000.0,Syria,,,
bhadbhabie,625,Music,16399999.999999998,United States,,,
otabek_muhammadalievich,626,,20000000.0,Russia,,,
sushitrash,627,Music,6300000.0,United States,,,
djsnake,628,Music,9500000.0,India,,,
kareenakapoorkhan,629,FamilyCinema & Actors/actresses,9400000.0,India,,,
dindahw,630,Cinema & Actors/actresses,14500000.0,Indonesia,,,
chrismcg,631,,10600000.0,United States,,,
aslisona,632,Cinema & Actors/actressesLifestyle,23000000.0,India,,,
f1,633,Racing Sports,19800000.0,Italy,,,
davidalaba,634,Sports with a ball,10100000.0,Spain,,,
haifawehbe,635,Music,10100000.0,Iraq,,,
zo,636,Sports with a ball,14200000.0,United States,,,
felipeneto,637,Lifestyle,16000000.0,Brazil,,,
jaspritb1,638,Lifestyle,9800000.0,India,,,
maudeapatow,639,LifestyleCinema & Actors/actresses,4900000.0,United States,,,
taylor_hill,640,Art/ArtistsFashionModeling,19900000.0,United States,,,
regejean,641,Cinema & Actors/actressesMusic,6300000.0,Brazil,,,
anupamaparameswaran96,642,Cinema & Actors/actresses,12200000.0,India,,,
vikkialchester,643,Music,11000000.0,Russia,,,
simonettalein,644,BeautyCinema & Actors/actressesModeling,11500000.0,India,,,
troyesivan,645,Art/ArtistsFashionMusic,13200000.0,United States,,,
alvxaro,646,Lifestyle,9700000.0,Brazil,,,
paulwalker,647,Cinema & Actors/actresses,15000000.0,India,,,
amandacerny,648,Humor & Fun & Happiness,24000000.0,India,,,
yamigautam,649,Cinema & Actors/actresses,16000000.0,India,,,
candiceking,650,FamilyLifestyle,9900000.0,Brazil,,,
snoopdogg,651,LifestyleMusic,74600000.0,United States,,,
thiago6,652,Sports with a ball,9600000.0,United Kingdom,,,
toni.kr8s,653,Sports with a ball,34300000.0,Germany,,,
egorkreed,654,Music,14700000.0,Russia,,,
amybethmcnulty,655,LifestyleCinema & Actors/actresses,7300000.0,Brazil,,,
charles_leclerc,656,Racing Sports,8000000.0,Italy,,,
avengers,657,Cinema & Actors/actresses,13500000.0,India,,,
dbook,658,Sports with a ball,5400000.0,United States,,,
l7nnon,659,LifestyleArt/Artists,8100000.0,Brazil,,,
faz3,660,Lifestyle,14400000.0,United Arab Emirates,,,
kentooyamazaki,661,Cinema & Actors/actresses,5000000.0,Japan,,,
alishalehmann7,662,Sports with a ball,7800000.0,Brazil,,,
yamigautam,663,Cinema & Actors/actresses,16000000.0,India,,,
machinegunkelly,664,Music,9700000.0,United States,,,
davikah,665,Modeling,16900000.0,Thailand,,,
blythe,666,Cinema & Actors/actressesModelingLifestyle,13500000.0,Philippines,,,
kingryan,667,Fitness & Gym,8900000.0,United States,,,
sthefanematos,668,Lifestyle,9900000.0,Brazil,,,
_agentgirl_,669,Shows,18600000.0,Russia,,,
riyadmahrez26.7,670,Sports with a ball,9100000.0,Algeria,,,
ler_chek,671,LifestyleBeauty,10400000.0,Russia,,,
arthuraguiar,672,MusicCinema & Actors/actresses,13900000.0,Brazil,,,
harshbeniwal,673,Humor & Fun & HappinessShowsCinema & Actors/actresses,5600000.0,India,,,
youngdae0302,674,Music,4400000.0,Indonesia,,,
sugaringcandy,675,,2500000.0,,0.0,1400000.0,0.0
casemiro,676,Sports with a ball,15900000.0,Spain,,,
jojotodynho,677,Music,22500000.0,Brazil,,,
srinidhi_shetty,678,,4200000.0,India,,,
amin.hayai,679,,9000000.0,Iran,,,
dylanminnette,680,MusicCinema & Actors/actresses,7400000.0,United States,,,
djsnake,681,Music,9600000.0,India,,,
aliandooo,682,MusicCinema & Actors/actresses,16700000.0,Indonesia,,,
mclomaofficial,683,Music,8100000.0,Brazil,,,
ewsbdi,684,,4500000.0,Indonesia,,,
pokimanelol,685,LifestyleShowsComputers & Gadgets,6100000.0,United States,,,
emmaroberts,686,Cinema & Actors/actresses,18100000.0,United States,,,
lucyhale,687,Cinema & Actors/actresses,24500000.0,United States,,,
stebinben,688,MusicShows,10600000.0,India,,,
juki_lop,689,ShowsFamily,9400000.0,Mexico,,,
alfinetei,690,Humor & Fun & Happiness,21700000.0,Brazil,,,
centralcee,691,LifestyleMusicSports with a ball,3700000.0,United Kingdom,,,
syifahadjureal,692,Modeling,15400000.0,Indonesia,,,
d_degeaofficial,693,Sports with a ball,13500000.0,United Kingdom,,,
elmarianaa,694,Humor & Fun & Happiness,3800000.0,Mexico,,,
calumhood,695,Music,7000000.0,United States,,,
coolio_daryl,696,,5900000.0,,0.0,,0.0
willyrex,697,Shows,8700000.0,Spain,,,
liltjay,698,LifestyleMusic,7400000.0,United States,,,
floydmayweather,699,Fitness & Gym,28400000.0,United States,,,
georgenotfound,700,,3000000.0,United States,1000000.0,1100000.0,0.3333
onwardwanna,701,LifestyleCinema & Actors/actresses,5600000.0,United States,,,
milad_khahhh,702,Lifestyle,6500000.0,Iran,,,
angela_aguilar_,703,Lifestyle,8700000.0,Mexico,,,
kaliuchis,704,Music,3900000.0,United States,,,
joaoguilherme,705,MusicCinema & Actors/actressesLifestyle,16100000.000000002,Brazil,,,
harshbeniwal,706,Humor & Fun & HappinessShowsCinema & Actors/actresses,5600000.0,India,,,
salmahayek,707,Cinema & Actors/actresses,21500000.0,United States,,,
rezagolzar,708,Cinema & Actors/actresses,12200000.0,Iran,,,
acunilicali,709,Cinema & Actors/actresses,13700000.0,Turkey,,,
lacikaysomers,710,MusicModelingArt/Artists,12200000.0,United States,,,
karna.val,711,Lifestyle,7300000.0,Russia,,,
arsenal,712,Sports with a ball,22200000.0,United Kingdom,,,
anas,713,FamilyShows,5700000.0,,0.0,,0.0
saipallavi.senthamarai,714,,5900000.0,India,,,
nct_dream,715,,10200000.0,Indonesia,,,
violets.tv,716,Adult content,13900000.0,Italy,,,
tohi,717,Lifestyle,12000000.0,Iran,,,
rodridepaul,718,Sports with a ball,4800000.0,Argentina,,,
maneskinofficial,719,Lifestyle,6100000.0,Italy,,,
wanda_nara,720,Lifestyle,13600000.0,Argentina,,,
perspolis,721,Sports with a ball,8100000.0,Iran,,,
grisha_eric,722,,12400000.0,Turkey,,,
miamalkova,723,Cinema & Actors/actresses,11000000.0,India,,,
nba,724,Sports with a ball,69000000.0,United States,,,
gima_ashi,725,Lifestyle,14600000.0,India,,,
burcuozberk,726,Cinema & Actors/actresses,9300000.0,Turkey,,,
everyone_woo,727,,2900000.0,Indonesia,,1100000.0,
egupta,728,LifestyleModeling,8700000.0,India,,,
jennifer.garner,729,Cinema & Actors/actresses,13300000.0,United States,,,
normani,730,Lifestyle,7300000.0,United States,,,
03_hu,731,Lifestyle,4200000.0,South Korea,,,
mrancelotti,732,Sports with a ball,8400000.0,Italy,,,
jorgelopez_as,733,Cinema & Actors/actresses,9600000.0,Brazil,,,
huddy,734,LifestyleArt/Artists,11700000.0,United States,,,
kenzie,735,Art/Artists,14900000.0,United States,,,
f1,736,Racing Sports,19900000.0,Italy,,,
staskaranikolaou,737,Lifestyle,11100000.0,United States,,,
saharghoreyshiofficialpage,738,Lifestyle,11600000.0,Iran,,,
beberexha,739,MusicLifestyle,10800000.0,India,,,
dqsalmaan,740,Cinema & Actors/actresses,10600000.0,India,,,
soyneiva,741,Adult content,11900000.0,Brazil,,,
tamannaahspeaks,742,MusicCinema & Actors/actresses,17200000.0,India,,,
dava_m,743,Business & Careers,13600000.0,Russia,,,
nodal,744,Music,9400000.0,Mexico,,,
vanessabryant,745,Sports with a ballLifestyleKids & Toys,15600000.0,United States,,,
littlemix,746,Music,16000000.0,Brazil,,,
issavegas,747,Fitness & Gym,9100000.0,Mexico,,,
iqbaal.e,748,Cinema & Actors/actresses,13500000.0,Indonesia,,,
fadiljaidi,749,Lifestyle,7700000.0,Indonesia,,,
briandadeyanara,750,,13000000.0,Mexico,,,
avrillavigne,751,MusicCinema & Actors/actressesFashion,11400000.0,Brazil,,,
rafaelnadal,752,Sports with a ball,15600000.0,Spain,,,
dearra,753,Lifestyle,6300000.0,United States,,,
courteneycoxofficial,754,Cinema & Actors/actresses,12200000.0,India,,,
superm,755,ShowsMusic,5200000.0,Indonesia,,,
tamerhosny,756,MusicCinema & Actors/actresses,22700000.0,Egypt,,,
valentinazenere,757,ModelingLifestyle,10000000.0,Brazil,,,
maddieziegler,758,Cinema & Actors/actressesModeling,13900000.0,United States,,,
canelo,759,Fitness & Gym,13400000.0,Mexico,,,
vernonline,760,,4100000.0,,0.0,,0.0
veradijkmans,761,Adult content,5400000.0,United States,,,
willevy,762,ShowsCinema & Actors/actressesModeling,10600000.0,Brazil,,,
natalee.007,763,ModelingMusic,7000000.0,United States,,,
indiaroyale,764,Lifestyle,4300000.0,United States,,,
sebastianyatra,765,MusicArt/Artists,29700000.0,Argentina,,,
yefersoncossio,766,Lifestyle,9500000.0,Colombia,,,
nabilla,767,Beauty,7700000.0,France,,,
andresiniesta8,768,Sports with a ball,39700000.0,Spain,,,
spacex,769,ScienceMachinery & Technologies,15000000.0,United States,,,
letthelordbewithyou,770,LifestyleFamily,27300000.0,United States,,,
soueunavida,771,Humor & Fun & Happiness,18100000.0,Brazil,,,
tiagopzk,772,Music,5100000.0,Argentina,,,
la_beaute_africaine,773,Photography,1600000.0,Senegal,,1900000.0,
alvaromorata,774,Sports with a ballLiterature & Journalism,17400000.0,Italy,,,
ansufati,775,Sports with a ball,8700000.0,Spain,,,
joelocke03,776,Cinema & Actors/actressesMusic,3100000.0,United States,0.0,,0.0
dagelan,777,Humor & Fun & Happiness,20900000.0,Indonesia,,,
bumkeyk,778,Music,9200000.0,Indonesia,,,
tombrady,779,Sports with a ball,12500000.0,United States,,,
streetartglobe,780,Art/Artists,17000000.0,United States,,,
nobru,781,Machinery & TechnologiesComputers & Gadgets,13500000.0,Brazil,,,
philfoden,782,Sports with a ball,5000000.0,United Kingdom,,,
brycehall,783,Music,7300000.0,United States,,,
kaka,784,Sports with a ball,18700000.0,Brazil,,,
adidasfootball,785,Sports with a ball,31500000.0,Brazil,,,
asala,786,Shows,6900000.0,United Arab Emirates,0.0,,0.0
theamitbhadana,787,Shows,8400000.0,India,,,
yg_treasure_official,788,Music,5400000.0,Indonesia,,,
brfootball,789,Sports with a ball,12400000.0,United States,,,
jenna_chew,790,Fitness & Gym,6700000.0,United States,,,
cocielo,791,Cinema & Actors/actresses,18700000.0,Brazil,,,
hyeri_0609,792,Music,7300000.0,South Korea,,,
netflix,793,Cinema & Actors/actressesShows,30400000.0,Brazil,,,
sagar_pop02,794,Lifestyle,7500000.0,India,,,
skaijackson,795,LifestyleBeauty,8000000.0,United States,,,
dejesusoficial,796,Sports with a ball,17500000.0,Brazil,,,
kawtarbamo,797,Cinema & Actors/actresses,7400000.0,Morocco,,,
roddyricch,798,Lifestyle,6900000.0,United States,,,
barackobama,799,Finance & EconomicsBusiness & CareersFamily,35400000.0,United States,,,
dhanushkraja,800,Cinema & Actors/actresses,4400000.0,India,,,
bowerjamie,801,Cinema & Actors/actresses,3800000.0,Italy,,,
galatasaray,802,Sports with a ball,11500000.0,Turkey,,,
tomhardy,803,LifestyleCinema & Actors/actressesModeling,8700000.0,Iran,,,
pooorblack,804,,4600000.0,Iran,,,
tejasswiprakash,805,Beauty,6100000.0,India,,,
larray,806,LifestyleModelingFashion,6800000.0,United States,,,
princessyahrini,807,Music,39600000.0,Indonesia,,,
celestinegonzaga,808,Music,7600000.0,Philippines,,,
nicolebahls,809,Modeling,18300000.0,Brazil,,,
noahbeck,810,Sports with a ball,9200000.0,United States,,,
jordialbaoficial,811,Sports with a ball,14500000.0,Spain,,,
teyanataylor,812,Music,15200000.0,United States,,,
residente,813,Music,8800000.0,Colombia,,,
sivakarthikeyan,814,,5100000.0,India,,,
wolfiecindy,815,ModelingLifestyle,7100000.0,United States,,,
canelo,816,Fitness & Gym,13400000.0,Mexico,,,
juliopfernandez,817,,3500000.0,Brazil,,,
urassayas,818,Cinema & Actors/actressesModelingFashion,11800000.0,Thailand,,,
loud_babi,819,Lifestyle,9100000.0,Brazil,,,
aurelie.hermansyah,820,Beauty,26600000.0,Indonesia,,,
watanabenaomi703,821,Cinema & Actors/actressesHumor & Fun & HappinessModeling,9900000.0,Japan,,,
sandrinna_11,822,Lifestyle,10700000.0,Indonesia,,,
irinashayk,823,Modeling,18800000.0,Russia,,,
pledis_boos,824,Music,4100000.0,Indonesia,,,
jessicajane99,825,Lifestyle,6000000.0,Indonesia,,,
soydannyalfaro,826,Beauty,8100000.0,Mexico,,,
wdohwan,827,Cinema & Actors/actresses,4500000.0,Indonesia,,,
albafloresoficial,828,Cinema & Actors/actresses,11700000.0,Spain,,,
borodylia,829,ShowsFamily,18400000.0,Russia,,,
markruffalo,830,Cinema & Actors/actresses,20900000.0,Brazil,,,
adinross,831,,3000000.0,United States,,1000000.0,
anwar,832,Shows,10300000.0,United States,,,
iampauloandre,833,Lifestyle,10000000.0,Brazil,,,
