Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement_Rate
gal_gadot,78,Cinema & Actors/actresses,83800000.0,United States,,,
oohsehun,79,Music,23300000.0,Indonesia,1700000.0,2100000.0,0.073
realmadrid,80,Sports with a ball,121800000.0,Spain,,,
sadiesink_,81,ModelingLifestyleBeauty,21600000.0,Brazil,1500000.0,2200000.0,0.0694
lilireinhart,82,Cinema & Actors/actresses,29000000.0,Brazil,1100000.0,1600000.0,0.0379
chrisbrownofficial,83,Music,115100000.0,United States,,,
fcbarcelona,84,Sports with a ball,110000000.0,Indonesia,,,
iamsrk,85,Cinema & Actors/actresses,30000000.0,India,1200000.0,1600000.0,0.04
ddlovato,86,Music,136300000.0,United States,,,
rashmika_mandanna,87,BeautyArt/ArtistsCinema & Actors/actresses,32300000.0,India,1200000.0,1400000.0,0.0372
dishapatani,88,Cinema & Actors/actressesLifestyle,52100000.0,India,,,
songkang_b,89,LifestyleMusic,14400000.0,Mexico,2200000.0,3100000.0,0.1528
bellahadid,90,Modeling,53200000.0,United States,,,
jacksonwang852g7,91,Music,28900000.0,China,1200000.0,1500000.0,0.0415
deepikapadukone,92,Cinema & Actors/actresses,67800000.0,India,,,
dannapaola,93,Music,34500000.0,Mexico,,1200000.0,
blackpinkofficial,94,Music,47700000.0,Indonesia,,,
haileybieber,95,LifestyleModeling,45900000.0,United States,,,
karimbenzema,96,Sports with a ball,55900000.0,France,,,
zacefron,97,Cinema & Actors/actresses,53900000.0,United States,,,
antonelaroccuzzo,98,ModelingFamily,20000000.0,Argentina,1200000.0,2000000.0,0.06
realstraykids,99,Music,21900000.0,Indonesia,1500000.0,1800000.0,0.0685
nasa,100,SciencePhotography,78600000.0,India,,,
nasa,101,SciencePhotography,78600000.0,India,,,
yawnzzn,102,,9600000.0,India,3200000.0,4100000.0,0.3333
chrisevans,103,,17000000.0,United States,1900000.0,2300000.0,0.1118
twicetagram,104,MusicModeling,26100000.0,Indonesia,1200000.0,1500000.0,0.046
priyankachopra,105,Cinema & Actors/actresses,80200000.0,India,,,
ursulolita,106,Cinema & Actors/actressesModeling,24100000.0,Brazil,1100000.0,1600000.0,0.0456
jenniferaniston,107,Cinema & Actors/actresses,40700000.0,Brazil,,,
hi_high_hiy,108,Cinema & Actors/actresses,14300000.0,South Korea,2200000.0,2600000.0,0.1538
addisonraee,109,Beauty,40400000.0,United States,,,
nike,110,Fitness & GymShopping & RetailClothing & Outfits,227600000.0,United States,,,
finnwolfhardofficial,111,MusicCinema & Actors/actresses,24600000.0,Brazil,1100000.0,1400000.0,0.0447
samantharuthprabhuoffl,112,BeautyModelingCinema & Actors/actresses,24200000.0,India,1200000.0,1400000.0,0.0496
madelame,113,Cinema & Actors/actresses,25400000.0,Russia,,1400000.0,
miakhalifa,114,Fitness & GymLifestyle,27800000.0,India,,1200000.0,
jannatzubair29,115,Cinema & Actors/actresses,43300000.0,India,,,
katyperry,116,Music,167200000.0,Brazil,,,
meganfox,117,Cinema & Actors/actresses,20400000.0,United States,,1600000.0,
vindiesel,118,Cinema & Actors/actresses,81700000.0,Brazil,,,
kapilsharma,119,Cinema & Actors/actressesShows,42000000.0,India,,,
camimendes,120,Cinema & Actors/actresses,27100000.0,Brazil,,1200000.0,
akshaykumar,121,Cinema & Actors/actresses,62600000.0,India,,,
tyga,122,Music,35400000.0,United States,,,
_jeongjaehyun,123,,12100000.0,Indonesia,2100000.0,2700000.0,0.1736
ladygaga,124,MusicCinema & Actors/actresses,53100000.0,United States,,,
kritisanon,125,Modeling,49700000.0,India,,,
hoooooyeony,126,Lifestyle,23400000.0,South Korea,1000000.0,1300000.0,0.0427
mrbeast,127,ShowsHumor & Fun & Happiness,19000000.0,United States,1200000.0,1600000.0,0.0632
rosalia.vt,128,Music,20900000.0,Spain,1100000.0,1500000.0,0.0526
shakira,129,Music,75600000.0,India,,,
pewdiepie,130,Computers & Gadgets,21900000.0,United States,1100000.0,1400000.0,0.0502
hrithikroshan,131,Cinema & Actors/actresses,43500000.0,India,,,
madelyncline,132,Cinema & Actors/actresses,12600000.0,United States,1600000.0,2400000.0,0.127
hazardeden_10,133,Sports with a ball,27000000.0,Spain,,1100000.0,
shraddhakapoor,134,Cinema & Actors/actresses,73400000.0,India,,,
vinijr,135,Sports with a ball,21300000.0,Brazil,,1400000.0,
emrata,136,Modeling,29500000.0,United States,,,
lanarhoades,137,LifestyleModeling,16800000.0,United States,1000000.0,1700000.0,0.0595
britneyspears,138,Music,41600000.0,United States,,,
maluma,139,Music,62700000.0,Italy,,,
beingsalmankhan,140,Cinema & Actors/actressesArt/Artists,53000000.0,India,,,
luisitocomunica,141,Humor & Fun & HappinessClothing & Outfits,32300000.0,Mexico,,,
natgeo,142,Nature & landscapesSciencePhotography,232200000.0,United States,,,
madisonbeer,143,Music,31800000.0,United States,,,
jacquelinef143,144,Cinema & Actors/actresses,62200000.0,India,,,
garethbale11,145,Sports with a ball,47800000.0,Spain,,,
norafatehi,146,Cinema & Actors/actressesMusicShows,41200000.0,India,,,
sabrinacarpenter,147,Music,27400000.0,Brazil,,,
marcelotwelve,148,Sports with a ball,57200000.0,Spain,,,
rohittt_09_,149,ShowsLifestyle,23600000.0,India,,1100000.0,
jasonstatham,150,Cinema & Actors/actresses,30700000.0,Iran,,,
thedeverakonda,151,Cinema & Actors/actresses,16000000.0,India,1300000.0,1600000.0,0.0812
theestallion,152,Music,29100000.0,United States,,,
theweeknd,153,Music,40300000.0,United States,,,
shahidkapoor,154,Cinema & Actors/actresses,35300000.0,India,,,
elrubiuswtf,155,Computers & Gadgets,17000000.0,Mexico,1300000.0,1400000.0,0.0765
annehathaway,156,Cinema & Actors/actresses,24400000.0,United States,,,
sydney_sweeney,157,LifestyleCinema & Actors/actresses,13600000.0,United States,,1700000.0,
erling.haaland,158,LifestyleSports with a ball,17100000.0,Brazil,,1400000.0,
lewishamilton,159,Racing Sports,29000000.0,Brazil,,,
hegdepooja,160,Cinema & Actors/actresses,20700000.0,India,,1100000.0,
luissuarez9,161,Sports with a ball,44100000.0,Brazil,,,
championsleague,162,Sports with a ball,95700000.0,Brazil,,,
433,163,Sports with a ball,50800000.0,Spain,,,
eminem,164,Cinema & Actors/actressesMusic,36200000.0,Iran,,,
rohitsharma45,165,Sports with a ballLifestyle,24400000.0,India,,,
zkdlin,166,Music,14100000.0,Indonesia,1300000.0,1600000.0,0.0922
sidhu_moosewala,167,,10800000.0,India,1700000.0,2100000.0,0.1574
jichangwook,168,Cinema & Actors/actresses,20600000.0,Indonesia,,1100000.0,
jamesrodriguez10,169,Sports with a ball,49800000.0,Colombia,,,
na.jaemin0813,170,,9800000.0,Indonesia,1800000.0,2300000.0,0.1837
greeicy,171,ShowsCinema & Actors/actresses,21200000.0,Colombia,,1000000.0,
emmachamberlain,172,LifestyleShows,15900000.0,United States,,1300000.0,
evaluna,173,FamilyMusic,20700000.0,Argentina,,1000000.0,
henrycavill,174,Cinema & Actors/actresses,21300000.0,Brazil,,1000000.0,
