Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0040,nei.okey,TikTok,9700.0,1139100,11743.3,5200000.0,1100000.0,26200.0,12900.0,2022-02-07 16:54:35.641971
INF0041,bintangemontersenyum,TikTok,982600.0,772100,78.58,5700000.0,718100.0,19100.0,34900.0,2022-02-07 16:54:35.641971
INF0042,mero_428,TikTok,1300000.0,5373900,413.38,585300.0,70900.0,3000.0,5300000.0,2022-02-07 16:54:35.641971
INF0043,zeth,TikTok,10600000.0,1319400,12.45,8500000.0,1300000.0,6000.0,13400.0,2022-02-07 16:54:35.641971
INF0044,addisonre,TikTok,86500000.0,1119800,1.29,9500000.0,1100000.0,12900.0,6900.0,2022-02-07 16:54:35.641971
INF0045,savanahmosss,TikTok,8600000.0,1612700,18.75,10300000.0,1600000.0,6000.0,6700.0,2022-02-07 16:54:35.641971
INF0046,kaliandarie,TikTok,327000.0,1515300,463.39,8700000.0,1500000.0,7900.0,7400.0,2022-02-07 16:54:35.641971
INF0047,nilered,TikTok,8400000.0,1223000,14.56,6500000.0,1200000.0,10800.0,12200.0,2022-02-07 16:54:35.641971
INF0048,.raquel_e,TikTok,717700.0,324900,45.27,7200000.0,194700.0,1300.0,128900.0,2022-02-07 16:54:35.641971
INF0049,mackenzieziegler,TikTok,22000000.0,1610700,7.32,10300000.0,1600000.0,7300.0,3400.0,2022-02-07 16:54:35.641971
INF0050,kimandnorth,TikTok,5700000.0,1608600,28.22,12700000.0,1600000.0,0.0,8600.0,2022-02-07 16:54:35.641971
INF0051,kimandnorth,TikTok,5700000.0,1608600,28.22,12700000.0,1600000.0,0.0,8600.0,2022-02-07 16:54:35.641971
INF0052,druskitv,TikTok,3000000.0,907500,30.25,4800000.0,866700.0,9000.0,31800.0,2022-02-07 16:54:35.641971
INF0053,nicolebernaal,TikTok,3400000.0,914300,26.89,8700000.0,893400.0,19600.0,1300.0,2022-02-07 16:54:35.641971
INF0054,alexisomman,TikTok,9000000.0,853800,9.49,3700000.0,799200.0,11100.0,43500.0,2022-02-07 16:54:35.641971
INF0055,trungruoi93,TikTok,1900000.0,688600,36.24,20400000.0,677000.0,2900.0,8700.0,2022-02-07 16:54:35.641971
INF0056,the_trickstars,TikTok,1600000.0,795000,49.69,4200000.0,744200.0,9600.0,41200.0,2022-02-07 16:54:35.641971
INF0057,os.sksk,TikTok,3200000.0,850400,26.58,12600000.0,835500.0,5800.0,9100.0,2022-02-07 16:54:35.641971
INF0058,alexitoxedits,TikTok,1900000.0,1531800,80.62,3400000.0,1500000.0,16700.0,15100.0,2022-02-07 16:54:35.641971
INF0059,soysuco,TikTok,8000000.0,975900,12.2,6200000.0,951700.0,20200.0,4000.0,2022-02-07 16:54:35.641971
INF0060,evcnoble,TikTok,9400000.0,1030800,10.97,4600000.0,1000000.0,5400.0,25400.0,2022-02-07 16:54:35.641971
INF0061,nekoglai,TikTok,8800000.0,999400,11.36,8900000.0,983100.0,11200.0,5100.0,2022-02-07 16:54:35.641971
INF0062,evlawler,TikTok,4600000.0,1019800,22.17,6800000.0,1000000.0,7700.0,12100.0,2022-02-07 16:54:35.641971
INF0063,ahw5d,TikTok,2500000.0,667489,26.7,10500000.0,649100.0,17700.0,689.0,2022-02-07 16:54:35.641971
INF0064,axelwebber,TikTok,4100000.0,1610800,39.29,7300000.0,1600000.0,8100.0,2700.0,2022-02-07 16:54:35.641971
INF0065,madison.darwin,TikTok,50500.0,612100,1212.08,18700000.0,601900.0,4800.0,5400.0,2022-02-07 16:54:35.641971
INF0066,strangehumano,TikTok,7600000.0,1113000,14.64,7800000.0,1100000.0,6800.0,6200.0,2022-02-07 16:54:35.641971
INF0067,alexschlab,TikTok,997700.0,1812100,181.63,5200000.0,1800000.0,7600.0,4500.0,2022-02-07 16:54:35.641971
INF0068,masonramsey,TikTok,1800000.0,1010200,56.12,10200000.0,1000000.0,6100.0,4100.0,2022-02-07 16:54:35.641971
INF0069,connordewolfe,TikTok,5100000.0,1121500,21.99,4600000.0,1100000.0,5600.0,15900.0,2022-02-07 16:54:35.641971
INF0070,drewafualo,TikTok,5700000.0,1118500,19.62,5000000.0,1100000.0,13200.0,5300.0,2022-02-07 16:54:35.641971
INF0071,johnnysins,TikTok,6900000.0,692200,10.03,6000000.0,667400.0,10600.0,14200.0,2022-02-07 16:54:35.641971
INF0072,fujiiian,TikTok,10300000.0,1208600,11.73,9300000.0,1200000.0,5400.0,3200.0,2022-02-07 16:54:35.641971
INF0073,willsmith,TikTok,65599999.99999999,763100,1.16,4800000.0,736600.0,6400.0,20100.0,2022-02-07 16:54:35.641971
INF0074,jdpantoja,TikTok,25700000.0,1211900,4.72,6500000.0,1200000.0,10000.0,1900.0,2022-02-07 16:54:35.641971
INF0075,thongsoaicavip,TikTok,873900.0,504900,57.78,8900000.0,484300.0,12200.0,8400.0,2022-02-07 16:54:35.641971
INF0076,vhackerr,TikTok,13500000.0,766600,5.68,5000000.0,742700.0,16300.0,7600.0,2022-02-07 16:54:35.641971
INF0077,fadiljaidi,TikTok,6900000.0,878200,12.73,8400000.0,866300.0,7400.0,4500.0,2022-02-07 16:54:35.641971
INF0078,seventeen17_official,TikTok,3700000.0,968800,26.18,2500000.0,932500.0,22200.0,14100.0,2022-02-07 16:54:35.641971
INF0079,sucss.s,TikTok,9200000.0,1011800,11.0,6800000.0,1000000.0,7600.0,4200.0,2022-02-07 16:54:35.641971
